Sample_idx,timestamp_ms,adjusted_game_time,player_id,realX,realY,linEstX,linEstY,hypEstX,hypEstY,filtEstX,filtEstY,linErr,hypErr,filtErr,linRMSE,hypRMSE,filtRMSE
126,15.12,2867.88,201939,26.3497,8.8364,23.1607,8.0691,25.9368,8.2903,25.9684,8.8074,3.28,0.6846,0.3824,10.2634,0.7271,0.3989
127,15.24,2867.76,201939,26.4995,8.8473,24.543,8.5975,26.1584,8.804,26.0851,8.9069,1.9724,0.3438,0.4187,10.2634,0.7271,0.3989
128,15.359,2867.64,201939,26.5924,8.8614,22.3199,8.0444,25.9451,8.44,26.0094,8.9032,4.35,0.7723,0.5845,10.2634,0.7271,0.3989
129,15.479,2867.52,201939,26.6299,8.8404,49.5003,12.3586,27.0537,9.4066,26.5693,8.8663,23.1395,0.7072,0.066,10.2634,0.7271,0.3989
130,15.6,2867.4,201939,26.666,8.8212,28.6951,10.0466,26.5522,9.6524,26.5789,9.1318,2.3704,0.839,0.3226,10.2634,0.7271,0.3989
131,15.719,2867.28,201939,26.7074,8.8494,101.7452,23.8339,26.8549,10.1877,26.7248,9.0872,76.5193,1.3464,0.2385,10.2634,0.7271,0.3989
132,15.839,2867.16,201939,26.717,8.8746,21.323,7.62,26.5042,8.113,26.6194,9.011,5.5379,0.7908,0.1677,10.2634,0.7271,0.3989
133,15.96,2867.04,201939,26.6617,8.8877,18.3547,7.3112,26.3326,7.4648,26.3779,8.53,8.4553,1.4604,0.4566,10.2634,0.7271,0.3989
134,16.079,2866.92,201939,26.5924,8.9289,21.6609,7.62,27.0288,7.9681,26.7194,8.5655,5.1023,1.0552,0.385,10.2634,0.7271,0.3989
135,16.199,2866.8,201939,26.4783,8.9627,20.9091,7.62,26.0335,8.1222,26.3752,8.7315,5.7288,0.9509,0.2532,10.2634,0.7271,0.3989
136,16.32,2866.68,201939,26.3113,8.9898,31.7851,10.3995,26.6122,9.5503,26.5204,8.9422,5.6524,0.6362,0.2144,10.2634,0.7271,0.3989
137,16.439,2866.56,201939,26.1248,9.0384,27.1384,9.3174,26.1384,9.1689,26.3168,8.9833,1.0513,0.1312,0.1997,10.2634,0.7271,0.3989
138,16.559,2866.44,201939,25.9176,9.08,45.9108,14.3566,26.3305,10.2721,26.3278,9.141,20.6777,1.2616,0.4147,10.2634,0.7271,0.3989
139,16.68,2866.32,201939,25.6757,9.0939,22.4365,8.4829,25.2332,8.95,25.7341,9.2216,3.2963,0.4653,0.1404,10.2634,0.7271,0.3989
140,16.799,2866.2,201939,25.3924,9.0668,24.8263,9.1273,25.6009,9.2623,25.6695,9.285,0.5693,0.2858,0.3527,10.2634,0.7271,0.3989
141,16.919,2866.08,201939,25.1004,9.0392,27.7748,10.06,24.7504,9.4936,25.127,9.2036,2.8626,0.5736,0.1665,10.2634,0.7271,0.3989
142,17.04,2865.95,201939,24.7982,8.9554,33.9821,10.838,25.0113,9.3863,25.0527,9.0736,9.3748,0.4807,0.2806,10.2634,0.7271,0.3989
143,17.159,2865.83,201939,24.4436,8.8129,24.9263,9.1901,24.2714,9.0854,24.5838,9.0074,0.6126,0.3224,0.2398,10.2634,0.7271,0.3989
144,17.279,2865.71,201939,24.102,8.635,35.4116,10.1838,24.8648,8.924,24.7418,8.823,11.4152,0.8157,0.6668,10.2634,0.7271,0.3989
145,17.4,2865.59,201939,23.7506,8.4256,17.2516,7.3597,23.6054,7.5859,23.9713,8.4878,6.5858,0.8522,0.2293,10.2634,0.7271,0.3989
146,17.519,2865.47,201939,23.3986,8.1651,18.7225,7.62,23.6799,7.856,23.7489,8.3318,4.7078,0.4179,0.3879,10.2634,0.7271,0.3989
147,17.639,2865.35,201939,23.0367,7.9277,18.1622,7.62,23.0105,7.8051,23.2498,8.1642,4.8842,0.1254,0.3183,10.2634,0.7271,0.3989
148,17.76,2865.23,201939,22.7115,7.7209,13.5901,7.277,22.7291,6.7933,22.8011,7.8639,9.1322,0.9278,0.1688,10.2634,0.7271,0.3989
149,17.879,2865.11,201939,22.3423,7.5038,14.3256,7.7556,22.4301,7.8643,22.5875,7.7245,8.0207,0.3711,0.3299,10.2634,0.7271,0.3989
150,17.999,2864.99,201939,21.9682,7.3076,1.1761,8.9665,21.7911,6.5052,21.9713,7.2742,20.8582,0.8217,0.0335,10.2634,0.7271,0.3989
